week,retailer,region,product_id,pack_size_oz,units_sold,dollar_sales,base_price,promo_flag
2024-01-07,Publix,Northeast,4,128,689,3438.11,4.99,N
2024-01-07,Publix,South,1,64,240,717.6,2.99,N
2024-01-07,Publix,South,2,64,400,1196.0,2.99,N
2024-01-07,Publix,South,3,128,1129,4788.65,4.99,Y
2024-01-07,Publix,South,4,128,702,3502.98,4.99,N
2024-01-07,Publix,Midwest,1,64,927,2771.73,2.99,N
2024-01-07,Publix,Midwest,2,64,883,2640.17,2.99,N
2024-01-07,Publix,Midwest,3,128,1186,5918.14,4.99,N
2024-01-07,Publix,Midwest,4,128,938,3978.53,4.99,Y
2024-01-07,Publix,West,1,64,661,1976.39,2.99,N
2024-01-07,Publix,West,2,64,204,609.96,2.99,N
2024-01-07,Publix,West,3,128,966,4097.29,4.99,Y
2024-01-07,Publix,West,4,128,994,4960.06,4.99,N
2024-01-14,Walmart,Northeast,1,64,214,543.88,2.99,Y
2024-01-14,Walmart,Northeast,2,64,1091,2772.78,2.99,Y
2024-01-14,Walmart,Northeast,3,128,774,3862.26,4.99,N
2024-01-14,Walmart,Northeast,4,128,440,2195.6,4.99,N
2024-01-14,Walmart,South,1,64,295,882.05,2.99,N
2024-01-14,Walmart,South,2,64,684,1738.39,2.99,Y
2024-01-14,Walmart,South,3,128,948,4730.52,4.99,N
2024-01-14,Walmart,South,4,128,740,3138.71,4.99,Y
2024-01-14,Walmart,Midwest,1,64,359,1073.41,2.99,N
2024-01-14,Walmart,Midwest,2,64,442,1123.34,2.99,Y
2024-01-14,Walmart,Midwest,3,128,777,3877.23,4.99,N
2024-01-14,Walmart,Midwest,4,128,773,3857.27,4.99,N
2024-01-14,Walmart,West,1,64,845,2526.55,2.99,N
2024-01-14,Walmart,West,2,64,819,2081.49,2.99,Y
2024-01-14,Walmart,West,3,128,997,4975.03,4.99,N
2024-01-14,Walmart,West,4,128,839,4186.61,4.99,N
2024-01-14,Target,Northeast,1,64,547,1635.53,2.99,N
2024-01-14,Target,Northeast,2,64,389,988.64,2.99,Y
2024-01-14,Target,Northeast,3,128,576,2874.24,4.99,N
2024-01-14,Target,Northeast,4,128,832,4151.68,4.99,N
2024-01-14,Target,South,1,64,944,2822.56,2.99,N
2024-01-14,Target,South,2,64,909,2717.91,2.99,N
2024-01-14,Target,South,3,128,848,4231.52,4.99,N
2024-01-14,Target,South,4,128,424,1798.4,4.99,Y
2024-01-14,Target,Midwest,1,64,883,2244.14,2.99,Y
2024-01-14,Target,Midwest,2,64,1026,3067.74,2.99,N
2024-01-14,Target,Midwest,3,128,807,4026.93,4.99,N
2024-01-14,Target,Midwest,4,128,891,4446.09,4.99,N
2024-01-14,Target,West,1,64,696,1768.88,2.99,Y
2024-01-14,Target,West,2,64,467,1186.88,2.99,Y
2024-01-14,Target,West,3,128,585,2919.15,4.99,N
2024-01-14,Target,West,4,128,812,3444.1,4.99,Y
2024-01-14,Kroger,Northeast,1,64,280,711.62,2.99,Y
2024-01-14,Kroger,Northeast,2,64,201,600.99,2.99,N
2024-01-14,Kroger,Northeast,3,128,765,3244.75,4.99,Y
2024-01-14,Kroger,Northeast,4,128,935,4665.65,4.99,N
2024-01-14,Kroger,South,1,64,602,1799.98,2.99,N
2024-01-14,Kroger,South,2,64,252,753.48,2.99,N
2024-01-14,Kroger,South,3,128,871,4346.29,4.99,N
2024-01-14,Kroger,South,4,128,446,2225.54,4.99,N
2024-01-14,Kroger,Midwest,1,64,402,1201.98,2.99,N
2024-01-14,Kroger,Midwest,2,64,600,1794.0,2.99,N
2024-01-14,Kroger,Midwest,3,128,479,2390.21,4.99,N
2024-01-14,Kroger,Midwest,4,128,809,4036.91,4.99,N
2024-01-14,Kroger,West,1,64,1106,3306.94,2.99,N
2024-01-14,Kroger,West,2,64,343,1025.57,2.99,N
2024-01-14,Kroger,West,3,128,323,1611.77,4.99,N
2024-01-14,Kroger,West,4,128,663,2812.11,4.99,Y
2024-01-14,Publix,Northeast,1,64,859,2568.41,2.99,N
2024-01-14,Publix,Northeast,2,64,1131,2874.44,2.99,Y
2024-01-14,Publix,Northeast,3,128,1162,5798.38,4.99,N
2024-01-14,Publix,Northeast,4,128,347,1731.53,4.99,N
2024-01-14,Publix,South,1,64,1019,3046.81,2.99,N
2024-01-14,Publix,South,2,64,1135,3393.65,2.99,N
2024-01-14,Publix,South,3,128,537,2679.63,4.99,N
2024-01-14,Publix,South,4,128,978,4880.22,4.99,N
2024-01-14,Publix,Midwest,1,64,672,1707.89,2.99,Y
2024-01-14,Publix,Midwest,2,64,614,1835.86,2.99,N
2024-01-14,Publix,Midwest,3,128,810,3435.62,4.99,Y
2024-01-14,Publix,Midwest,4,128,343,1711.57,4.99,N
2024-01-14,Publix,West,1,64,771,1959.5,2.99,Y
2024-01-14,Publix,West,2,64,1096,2785.48,2.99,Y
2024-01-14,Publix,West,3,128,851,4246.49,4.99,N
2024-01-14,Publix,West,4,128,359,1791.41,4.99,N
2024-01-21,Walmart,Northeast,1,64,208,528.63,2.99,Y
2024-01-21,Walmart,Northeast,2,64,858,2565.42,2.99,N
2024-01-21,Walmart,Northeast,3,128,330,1646.7,4.99,N
2024-01-21,Walmart,Northeast,4,128,253,1262.47,4.99,N
2024-01-21,Walmart,South,1,64,1119,3345.81,2.99,N
2024-01-21,Walmart,South,2,64,824,2094.2,2.99,Y
2024-01-21,Walmart,South,3,128,621,3098.79,4.99,N
2024-01-21,Walmart,South,4,128,453,1921.4,4.99,Y
2024-01-21,Walmart,Midwest,1,64,709,2119.91,2.99,N
2024-01-21,Walmart,Midwest,2,64,352,894.61,2.99,Y
2024-01-21,Walmart,Midwest,3,128,1095,5464.05,4.99,N
2024-01-21,Walmart,Midwest,4,128,905,4515.95,4.99,N
2024-01-21,Walmart,West,1,64,919,2747.81,2.99,N
2024-01-21,Walmart,West,2,64,1195,3573.05,2.99,N
2024-01-21,Walmart,West,3,128,1000,4990.0,4.99,N
2024-01-21,Walmart,West,4,128,1015,5064.85,4.99,N
2024-01-21,Target,Northeast,1,64,1095,3274.05,2.99,N
2024-01-21,Target,Northeast,2,64,394,1178.06,2.99,N
2024-01-21,Target,Northeast,3,128,232,1157.68,4.99,N
2024-01-21,Target,Northeast,4,128,1154,5758.46,4.99,N
2024-01-21,Target,South,1,64,574,1458.82,2.99,Y
2024-01-21,Target,South,2,64,869,2598.31,2.99,N
2024-01-21,Target,South,3,128,564,2814.36,4.99,N
2024-01-21,Target,South,4,128,975,4865.25,4.99,N
2024-01-21,Target,Midwest,1,64,425,1270.75,2.99,N
2024-01-21,Target,Midwest,2,64,808,2415.92,2.99,N
2024-01-21,Target,Midwest,3,128,1159,5783.41,4.99,N
2024-01-21,Target,Midwest,4,128,1028,5129.72,4.99,N
2024-01-21,Target,West,1,64,715,1817.17,2.99,Y
2024-01-21,Target,West,2,64,248,630.29,2.99,Y
2024-01-21,Target,West,3,128,371,1851.29,4.99,N
2024-01-21,Target,West,4,128,676,2867.25,4.99,Y
2024-01-21,Kroger,Northeast,1,64,717,2143.83,2.99,N
2024-01-21,Kroger,Northeast,2,64,944,2822.56,2.99,N
2024-01-21,Kroger,Northeast,3,128,548,2734.52,4.99,N
2024-01-21,Kroger,Northeast,4,128,380,1896.2,4.99,N
2024-01-21,Kroger,South,1,64,899,2688.01,2.99,N
2024-01-21,Kroger,South,2,64,390,1166.1,2.99,N
2024-01-21,Kroger,South,3,128,1127,5623.73,4.99,N
2024-01-21,Kroger,South,4,128,455,2270.45,4.99,N
2024-01-21,Kroger,Midwest,1,64,217,648.83,2.99,N
2024-01-21,Kroger,Midwest,2,64,934,2792.66,2.99,N
2024-01-21,Kroger,Midwest,3,128,522,2604.78,4.99,N
2024-01-21,Kroger,Midwest,4,128,991,4203.33,4.99,Y
2024-01-21,Kroger,West,1,64,1142,3414.58,2.99,N
2024-01-21,Kroger,West,2,64,1161,2950.68,2.99,Y
2024-01-21,Kroger,West,3,128,689,3438.11,4.99,N
2024-01-21,Kroger,West,4,128,984,4910.16,4.99,N
2024-01-21,Publix,Northeast,1,64,592,1770.08,2.99,N
2024-01-21,Publix,Northeast,2,64,375,1121.25,2.99,N
2024-01-21,Publix,Northeast,3,128,881,4396.19,4.99,N
2024-01-21,Publix,Northeast,4,128,1066,4521.44,4.99,Y
2024-01-21,Publix,South,1,64,607,1814.93,2.99,N
2024-01-21,Publix,South,2,64,705,1791.76,2.99,Y
2024-01-21,Publix,South,3,128,235,1172.65,4.99,N
2024-01-21,Publix,South,4,128,520,2205.58,4.99,Y
2024-01-21,Publix,Midwest,1,64,599,1522.36,2.99,Y
2024-01-21,Publix,Midwest,2,64,1082,3235.18,2.99,N
2024-01-21,Publix,Midwest,3,128,291,1452.09,4.99,N
2024-01-21,Publix,Midwest,4,128,999,4985.01,4.99,N
2024-01-21,Publix,West,1,64,1053,3148.47,2.99,N
2024-01-21,Publix,West,2,64,897,2682.03,2.99,N
2024-01-21,Publix,West,3,128,324,1616.76,4.99,N
2024-01-21,Publix,West,4,128,769,3261.71,4.99,Y
2024-01-28,Walmart,Northeast,1,64,891,2264.48,2.99,Y
2024-01-28,Walmart,Northeast,2,64,982,2936.18,2.99,N
2024-01-28,Walmart,Northeast,3,128,643,3208.57,4.99,N
2024-01-28,Walmart,Northeast,4,128,463,2310.37,4.99,N
2024-01-28,Walmart,South,1,64,819,2448.81,2.99,N
2024-01-28,Walmart,South,2,64,395,1181.05,2.99,N
2024-01-28,Walmart,South,3,128,1191,5943.09,4.99,N
2024-01-28,Walmart,South,4,128,246,1227.54,4.99,N
2024-01-28,Walmart,Midwest,1,64,1135,3393.65,2.99,N
2024-01-28,Walmart,Midwest,2,64,468,1399.32,2.99,N
2024-01-28,Walmart,Midwest,3,128,305,1521.95,4.99,N
2024-01-28,Walmart,Midwest,4,128,856,4271.44,4.99,N
2024-01-28,Walmart,West,1,64,986,2948.14,2.99,N
2024-01-28,Walmart,West,2,64,1150,2922.72,2.99,Y
2024-01-28,Walmart,West,3,128,673,3358.27,4.99,N
2024-01-28,Walmart,West,4,128,990,4940.1,4.99,N
2024-01-28,Target,Northeast,1,64,1107,3309.93,2.99,N
2024-01-28,Target,Northeast,2,64,257,768.43,2.99,N
2024-01-28,Target,Northeast,3,128,950,4029.43,4.99,Y
2024-01-28,Target,Northeast,4,128,837,3550.14,4.99,Y
2024-01-28,Target,South,1,64,800,2392.0,2.99,N
2024-01-28,Target,South,2,64,1084,3241.16,2.99,N
2024-01-28,Target,South,3,128,388,1936.12,4.99,N
2024-01-28,Target,South,4,128,646,3223.54,4.99,N
2024-01-28,Target,Midwest,1,64,1060,3169.4,2.99,N
2024-01-28,Target,Midwest,2,64,275,822.25,2.99,N
2024-01-28,Target,Midwest,3,128,634,3163.66,4.99,N
2024-01-28,Target,Midwest,4,128,896,4471.04,4.99,N
2024-01-28,Target,West,1,64,419,1064.89,2.99,Y
2024-01-28,Target,West,2,64,293,876.07,2.99,N
2024-01-28,Target,West,3,128,652,3253.48,4.99,N
2024-01-28,Target,West,4,128,417,2080.83,4.99,N
2024-01-28,Kroger,Northeast,1,64,540,1614.6,2.99,N
2024-01-28,Kroger,Northeast,2,64,488,1459.12,2.99,N
2024-01-28,Kroger,Northeast,3,128,556,2774.44,4.99,N
2024-01-28,Kroger,Northeast,4,128,721,3597.79,4.99,N
2024-01-28,Kroger,South,1,64,299,759.91,2.99,Y
2024-01-28,Kroger,South,2,64,422,1072.51,2.99,Y
2024-01-28,Kroger,South,3,128,858,4281.42,4.99,N
2024-01-28,Kroger,South,4,128,968,4830.32,4.99,N
2024-01-28,Kroger,Midwest,1,64,715,2137.85,2.99,N
2024-01-28,Kroger,Midwest,2,64,535,1599.65,2.99,N
2024-01-28,Kroger,Midwest,3,128,696,3473.04,4.99,N
2024-01-28,Kroger,Midwest,4,128,359,1791.41,4.99,N
2024-01-28,Kroger,West,1,64,863,2580.37,2.99,N
2024-01-28,Kroger,West,2,64,874,2613.26,2.99,N
2024-01-28,Kroger,West,3,128,1128,5628.72,4.99,N
2024-01-28,Kroger,West,4,128,626,3123.74,4.99,N
2024-01-28,Publix,Northeast,1,64,1034,3091.66,2.99,N
2024-01-28,Publix,Northeast,2,64,367,1097.33,2.99,N
2024-01-28,Publix,Northeast,3,128,755,3202.33,4.99,Y
2024-01-28,Publix,Northeast,4,128,211,894.96,4.99,Y
2024-01-28,Publix,South,1,64,1097,2788.03,2.99,Y
2024-01-28,Publix,South,2,64,953,2849.47,2.99,N
2024-01-28,Publix,South,3,128,1048,5229.52,4.99,N
2024-01-28,Publix,South,4,128,804,4011.96,4.99,N
2024-01-28,Publix,Midwest,1,64,801,2394.99,2.99,N
2024-01-28,Publix,Midwest,2,64,314,798.03,2.99,Y
2024-01-28,Publix,Midwest,3,128,395,1971.05,4.99,N
2024-01-28,Publix,Midwest,4,128,825,4116.75,4.99,N
2024-01-28,Publix,West,1,64,612,1555.4,2.99,Y
2024-01-28,Publix,West,2,64,928,2774.72,2.99,N
2024-01-28,Publix,West,3,128,960,4790.4,4.99,N
2024-01-28,Publix,West,4,128,1068,5329.32,4.99,N
2024-02-04,Walmart,Northeast,1,64,391,1169.09,2.99,N
2024-02-04,Walmart,Northeast,2,64,298,891.02,2.99,N
2024-02-04,Walmart,Northeast,3,128,1177,4992.25,4.99,Y
2024-02-04,Walmart,Northeast,4,128,295,1472.05,4.99,N
2024-02-04,Walmart,South,1,64,389,1163.11,2.99,N
2024-02-04,Walmart,South,2,64,979,2927.21,2.99,N
2024-02-04,Walmart,South,3,128,724,3612.76,4.99,N
2024-02-04,Walmart,South,4,128,1066,4521.44,4.99,Y
2024-02-04,Walmart,Midwest,1,64,472,1411.28,2.99,N
2024-02-04,Walmart,Midwest,2,64,795,2377.05,2.99,N
2024-02-04,Walmart,Midwest,3,128,541,2294.65,4.99,Y
2024-02-04,Walmart,Midwest,4,128,218,1087.82,4.99,N
2024-02-04,Walmart,West,1,64,595,1779.05,2.99,N
2024-02-04,Walmart,West,2,64,1114,2831.23,2.99,Y
2024-02-04,Walmart,West,3,128,654,3263.46,4.99,N
2024-02-04,Walmart,West,4,128,934,4660.66,4.99,N
2024-02-04,Target,Northeast,1,64,1050,3139.5,2.99,N
2024-02-04,Target,Northeast,2,64,343,1025.57,2.99,N
2024-02-04,Target,Northeast,3,128,298,1487.02,4.99,N
2024-02-04,Target,Northeast,4,128,1147,5723.53,4.99,N
2024-02-04,Target,South,1,64,683,2042.17,2.99,N
2024-02-04,Target,South,2,64,343,1025.57,2.99,N
2024-02-04,Target,South,3,128,308,1536.92,4.99,N
2024-02-04,Target,South,4,128,385,1632.98,4.99,Y
2024-02-04,Target,Midwest,1,64,422,1072.51,2.99,Y
2024-02-04,Target,Midwest,2,64,362,1082.38,2.99,N
2024-02-04,Target,Midwest,3,128,434,2165.66,4.99,N
2024-02-04,Target,Midwest,4,128,950,4029.43,4.99,Y
2024-02-04,Target,West,1,64,273,816.27,2.99,N
2024-02-04,Target,West,2,64,1112,2826.15,2.99,Y
2024-02-04,Target,West,3,128,718,3582.82,4.99,N
2024-02-04,Target,West,4,128,367,1556.63,4.99,Y
2024-02-04,Kroger,Northeast,1,64,1145,3423.55,2.99,N
2024-02-04,Kroger,Northeast,2,64,393,998.81,2.99,Y
2024-02-04,Kroger,Northeast,3,128,364,1543.91,4.99,Y
2024-02-04,Kroger,Northeast,4,128,847,4226.53,4.99,N
2024-02-04,Kroger,South,1,64,1032,3085.68,2.99,N
2024-02-04,Kroger,South,2,64,856,2559.44,2.99,N
2024-02-04,Kroger,South,3,128,416,2075.84,4.99,N
2024-02-04,Kroger,South,4,128,1003,5004.97,4.99,N
2024-02-04,Kroger,Midwest,1,64,614,1835.86,2.99,N
2024-02-04,Kroger,Midwest,2,64,1075,3214.25,2.99,N
2024-02-04,Kroger,Midwest,3,128,290,1230.04,4.99,Y
2024-02-04,Kroger,Midwest,4,128,730,3096.3,4.99,Y
2024-02-04,Kroger,West,1,64,650,1651.98,2.99,Y
2024-02-04,Kroger,West,2,64,953,2849.47,2.99,N
2024-02-04,Kroger,West,3,128,257,1282.43,4.99,N
2024-02-04,Kroger,West,4,128,655,2778.18,4.99,Y
2024-02-04,Publix,Northeast,1,64,560,1674.4,2.99,N
2024-02-04,Publix,Northeast,2,64,586,1752.14,2.99,N
2024-02-04,Publix,Northeast,3,128,389,1941.11,4.99,N
2024-02-04,Publix,Northeast,4,128,707,2998.74,4.99,Y
2024-02-04,Publix,South,1,64,1023,3058.77,2.99,N
2024-02-04,Publix,South,2,64,316,944.84,2.99,N
2024-02-04,Publix,South,3,128,755,3767.45,4.99,N
2024-02-04,Publix,South,4,128,372,1577.84,4.99,Y
2024-02-04,Publix,Midwest,1,64,348,884.44,2.99,Y
2024-02-04,Publix,Midwest,2,64,412,1231.88,2.99,N
2024-02-04,Publix,Midwest,3,128,428,1815.36,4.99,Y
2024-02-04,Publix,Midwest,4,128,858,4281.42,4.99,N
2024-02-04,Publix,West,1,64,601,1527.44,2.99,Y
2024-02-04,Publix,West,2,64,504,1506.96,2.99,N
2024-02-04,Publix,West,3,128,614,3063.86,4.99,N
2024-02-04,Publix,West,4,128,765,3817.35,4.99,N
2024-02-11,Walmart,Northeast,1,64,855,2556.45,2.99,N
2024-02-11,Walmart,Northeast,2,64,1170,2973.56,2.99,Y
2024-02-11,Walmart,Northeast,3,128,935,3965.8,4.99,Y
2024-02-11,Walmart,Northeast,4,128,557,2779.43,4.99,N
2024-02-11,Walmart,South,1,64,867,2592.33,2.99,N
2024-02-11,Walmart,South,2,64,321,815.82,2.99,Y
2024-02-11,Walmart,South,3,128,289,1442.11,4.99,N
2024-02-11,Walmart,South,4,128,515,2569.85,4.99,N
2024-02-11,Walmart,Midwest,1,64,931,2783.69,2.99,N
2024-02-11,Walmart,Midwest,2,64,939,2807.61,2.99,N
2024-02-11,Walmart,Midwest,3,128,701,2973.29,4.99,Y
2024-02-11,Walmart,Midwest,4,128,400,1996.0,4.99,N
2024-02-11,Walmart,West,1,64,923,2759.77,2.99,N
2024-02-11,Walmart,West,2,64,951,2416.97,2.99,Y
2024-02-11,Walmart,West,3,128,757,3210.82,4.99,Y
2024-02-11,Walmart,West,4,128,589,2939.11,4.99,N
2024-02-11,Target,Northeast,1,64,455,1360.45,2.99,N
2024-02-11,Target,Northeast,2,64,1120,3348.8,2.99,N
2024-02-11,Target,Northeast,3,128,1023,5104.77,4.99,N
2024-02-11,Target,Northeast,4,128,450,1908.68,4.99,Y
2024-02-11,Target,South,1,64,318,950.82,2.99,N
2024-02-11,Target,South,2,64,573,1713.27,2.99,N
2024-02-11,Target,South,3,128,423,2110.77,4.99,N
2024-02-11,Target,South,4,128,978,4880.22,4.99,N
2024-02-11,Target,Midwest,1,64,262,783.38,2.99,N
2024-02-11,Target,Midwest,2,64,1026,3067.74,2.99,N
2024-02-11,Target,Midwest,3,128,660,2799.39,4.99,Y
2024-02-11,Target,Midwest,4,128,304,1516.96,4.99,N
2024-02-11,Target,West,1,64,584,1484.24,2.99,Y
2024-02-11,Target,West,2,64,1022,3055.78,2.99,N
2024-02-11,Target,West,3,128,1176,5868.24,4.99,N
2024-02-11,Target,West,4,128,844,4211.56,4.99,N
2024-02-11,Kroger,Northeast,1,64,636,1901.64,2.99,N
2024-02-11,Kroger,Northeast,2,64,764,2284.36,2.99,N
2024-02-11,Kroger,Northeast,3,128,657,3278.43,4.99,N
2024-02-11,Kroger,Northeast,4,128,284,1417.16,4.99,N
2024-02-11,Kroger,South,1,64,1077,2737.2,2.99,Y
2024-02-11,Kroger,South,2,64,884,2643.16,2.99,N
2024-02-11,Kroger,South,3,128,645,3218.55,4.99,N
2024-02-11,Kroger,South,4,128,687,3428.13,4.99,N
2024-02-11,Kroger,Midwest,1,64,547,1390.2,2.99,Y
2024-02-11,Kroger,Midwest,2,64,750,2242.5,2.99,N
2024-02-11,Kroger,Midwest,3,128,873,4356.27,4.99,N
2024-02-11,Kroger,Midwest,4,128,970,4840.3,4.99,N
2024-02-11,Kroger,West,1,64,467,1396.33,2.99,N
2024-02-11,Kroger,West,2,64,435,1300.65,2.99,N
2024-02-11,Kroger,West,3,128,933,4655.67,4.99,N
2024-02-11,Kroger,West,4,128,600,2544.9,4.99,Y
2024-02-11,Publix,Northeast,1,64,502,1500.98,2.99,N
2024-02-11,Publix,Northeast,2,64,428,1279.72,2.99,N
2024-02-11,Publix,Northeast,3,128,777,3877.23,4.99,N
2024-02-11,Publix,Northeast,4,128,302,1280.93,4.99,Y
2024-02-11,Publix,South,1,64,963,2879.37,2.99,N
2024-02-11,Publix,South,2,64,505,1509.95,2.99,N
2024-02-11,Publix,South,3,128,997,4975.03,4.99,N
2024-02-11,Publix,South,4,128,634,3163.66,4.99,N
2024-02-11,Publix,Midwest,1,64,507,1515.93,2.99,N
2024-02-11,Publix,Midwest,2,64,680,2033.2,2.99,N
2024-02-11,Publix,Midwest,3,128,741,3697.59,4.99,N
2024-02-11,Publix,Midwest,4,128,762,3802.38,4.99,N
2024-02-11,Publix,West,1,64,996,2531.33,2.99,Y
2024-02-11,Publix,West,2,64,383,1145.17,2.99,N
2024-02-11,Publix,West,3,128,984,4173.64,4.99,Y
2024-02-11,Publix,West,4,128,1183,5017.69,4.99,Y
2024-02-18,Walmart,Northeast,1,64,973,2909.27,2.99,N
2024-02-18,Walmart,Northeast,2,64,404,1026.77,2.99,Y
2024-02-18,Walmart,Northeast,3,128,242,1026.44,4.99,Y
2024-02-18,Walmart,Northeast,4,128,1082,5399.18,4.99,N
2024-02-18,Walmart,South,1,64,862,2190.77,2.99,Y
2024-02-18,Walmart,South,2,64,294,879.06,2.99,N
2024-02-18,Walmart,South,3,128,1111,5543.89,4.99,N
2024-02-18,Walmart,South,4,128,559,2789.41,4.99,N
2024-02-18,Walmart,Midwest,1,64,480,1435.2,2.99,N
2024-02-18,Walmart,Midwest,2,64,394,1178.06,2.99,N
2024-02-18,Walmart,Midwest,3,128,871,3694.35,4.99,Y
2024-02-18,Walmart,Midwest,4,128,833,3533.17,4.99,Y
2024-02-18,Walmart,West,1,64,988,2511.0,2.99,Y
2024-02-18,Walmart,West,2,64,803,2400.97,2.99,N
2024-02-18,Walmart,West,3,128,733,3109.02,4.99,Y
2024-02-18,Walmart,West,4,128,712,3552.88,4.99,N
2024-02-18,Target,Northeast,1,64,723,1837.5,2.99,Y
2024-02-18,Target,Northeast,2,64,745,1893.42,2.99,Y
2024-02-18,Target,Northeast,3,128,929,4635.71,4.99,N
2024-02-18,Target,Northeast,4,128,272,1153.69,4.99,Y
2024-02-18,Target,South,1,64,246,735.54,2.99,N
2024-02-18,Target,South,2,64,438,1309.62,2.99,N
2024-02-18,Target,South,3,128,306,1526.94,4.99,N
2024-02-18,Target,South,4,128,772,3274.44,4.99,Y
2024-02-18,Target,Midwest,1,64,1003,2998.97,2.99,N
2024-02-18,Target,Midwest,2,64,824,2463.76,2.99,N
2024-02-18,Target,Midwest,3,128,891,3779.18,4.99,Y
2024-02-18,Target,Midwest,4,128,838,4181.62,4.99,N
2024-02-18,Target,West,1,64,725,2167.75,2.99,N
2024-02-18,Target,West,2,64,1182,3534.18,2.99,N
2024-02-18,Target,West,3,128,585,2919.15,4.99,N
2024-02-18,Target,West,4,128,725,3075.09,4.99,Y
2024-02-18,Kroger,Northeast,1,64,1082,3235.18,2.99,N
2024-02-18,Kroger,Northeast,2,64,822,2457.78,2.99,N
2024-02-18,Kroger,Northeast,3,128,562,2804.38,4.99,N
2024-02-18,Kroger,Northeast,4,128,473,2360.27,4.99,N
2024-02-18,Kroger,South,1,64,938,2804.62,2.99,N
2024-02-18,Kroger,South,2,64,391,993.73,2.99,Y
2024-02-18,Kroger,South,3,128,684,2901.19,4.99,Y
2024-02-18,Kroger,South,4,128,238,1187.62,4.99,N
2024-02-18,Kroger,Midwest,1,64,430,1092.85,2.99,Y
2024-02-18,Kroger,Midwest,2,64,325,825.99,2.99,Y
2024-02-18,Kroger,Midwest,3,128,344,1716.56,4.99,N
2024-02-18,Kroger,Midwest,4,128,224,1117.76,4.99,N
2024-02-18,Kroger,West,1,64,266,795.34,2.99,N
2024-02-18,Kroger,West,2,64,345,876.82,2.99,Y
2024-02-18,Kroger,West,3,128,310,1546.9,4.99,N
2024-02-18,Kroger,West,4,128,822,4101.78,4.99,N
2024-02-18,Publix,Northeast,1,64,568,1698.32,2.99,N
